City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,walvis bay,-22.9575,14.5053,11.21,94,6,1.61,NA,1726620199
1,port-aux-francais,-49.35,70.2167,4.96,95,100,12.1,TF,1726620199
2,palu,-0.8917,119.8707,31.72,56,77,0.35,ID,1726620199
3,longyearbyen,78.2186,15.6401,5.91,100,100,0.51,SJ,1726620199
4,waitangi,-43.9535,-176.5597,7.68,73,89,7.15,NZ,1726620199
5,puerto natales,-51.7236,-72.4875,-0.06,89,18,1.57,CL,1726620199
6,vilyuysk,63.7553,121.6247,3.54,89,100,3.56,RU,1726620199
7,blackmans bay,-43.0167,147.3167,14.07,68,98,7.23,AU,1726620199
8,albany,42.6001,-73.9662,19.7,65,100,1.02,US,1726619911
9,zyryanovsk,49.7386,84.2719,0.92,68,0,1.33,KZ,1726620199
10,bubaque,11.2833,-15.8333,26.84,83,100,7.51,GW,1726620199
11,kasongo-lunda,-6.4667,16.8167,24.2,83,71,0.91,CD,1726620199
12,greenville,35.6127,-77.3663,23.97,96,7,0.55,US,1726620199
13,grytviken,-54.2811,-36.5092,1.82,91,93,7.66,GS,1726620199
14,sao joao da barra,-21.6403,-41.0511,21.09,77,59,4.18,BR,1726620200
15,west island,-12.1568,96.8225,24.99,65,99,4.63,CC,1726620200
16,adamstown,-25.066,-130.1015,20.55,83,100,3.57,PN,1726620200
17,constantia,44.1833,28.65,16.5,75,0,7.13,RO,1726620200
18,mariehamn,60.0973,19.9348,11.92,94,100,0.51,AX,1726620200
19,edinburgh of the seven seas,-37.0676,-12.3116,10.52,72,100,6.87,SH,1726620200
20,remire-montjoly,4.9167,-52.2667,27.02,89,0,2.06,GF,1726620200
21,chui,-33.6971,-53.4616,13.61,89,99,4.74,UY,1726620181
22,ushuaia,-54.8,-68.3,-1.19,93,75,7.2,AR,1726619905
23,belle fourche,44.6714,-103.8522,21.85,51,91,10.15,US,1726619949
24,kilkenny,52.6542,-7.2522,9.65,91,3,0.96,IE,1726620200
25,jamestown,42.097,-79.2353,20.8,68,0,2.06,US,1726620172
26,torghay,49.6339,63.4981,8.92,49,100,7.28,KZ,1726620200
27,tres lagoas,-20.7511,-51.6783,22.42,33,0,2.59,BR,1726620175
28,utrik,11.2278,169.8474,28.6,77,17,6.63,MH,1726620200
29,cadale,2.7603,46.3222,25.26,89,19,7.83,SO,1726620200
30,kotabumi,-4.8333,104.9,26.54,60,100,4.17,ID,1726619952
31,bilibino,68.0546,166.4372,2.05,60,100,2.15,RU,1726620200
32,tromso,69.6496,18.957,10.01,87,100,7.2,NO,1726620081
33,tanjung pandan,-2.75,107.65,28.53,64,100,4.35,ID,1726620201
34,baise city,23.8997,106.6133,28.52,99,46,1.72,CN,1726620201
35,mount pearl,47.5166,-52.7813,19.19,72,100,4.63,CA,1726620115
36,invercargill,-46.4,168.35,13.34,66,84,5.36,NZ,1726620201
37,kirakira,-10.4544,161.9205,28.28,79,100,4.23,SB,1726620201
38,la passe,45.5549,-0.8967,16.04,80,0,6.49,FR,1726620201
39,badger,64.8,-147.5333,12.21,64,75,4.12,US,1726620201
40,pingnan,23.5543,110.3976,27.87,78,86,1.8,CN,1726620201
